food_name,Calories,protein_g,fat_g,carbs_g
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",98.25,3.4,3.53,13.22
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",91.92,3.05,3.08,13.0
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",98.25,3.4,3.53,13.22
"Chocolate milk, NFS",67.4,3.39,0.0,13.46
"Chocolate milk, ready to drink, whole",84.55,3.17,3.39,10.34
"Chocolate milk, ready to drink, reduced fat",77.58,2.99,1.9,12.13
"Chocolate milk, ready to drink, fat free",67.4,3.39,0.0,13.46
"Chocolate milk, ready to drink, low fat",64.42999999999999,3.46,1.11,10.15
"Chocolate milk, ready to drink, reduced sugar, NS as to milk",53.8,3.43,1.04,7.68
"Chocolate milk, ready to drink, low fat (Nesquik)",64.42999999999999,3.46,1.11,10.15
"Chocolate milk, ready to drink, fat free (Nesquik)",67.4,3.39,0.0,13.46
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",64.42999999999999,3.46,1.11,10.15
"Hot chocolate / Cocoa, ready to drink",90.89999999999999,2.72,1.54,16.54
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",77.78,2.79,0.06,16.52
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",80.38,1.21,0.98,16.68
"Hot chocolate / Cocoa, ready to drink, with whipped cream",103.10000000000001,2.73,3.18,15.89
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",90.57,2.79,1.77,15.87
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",93.0,1.29,2.64,16.02
"Chocolate milk, made from dry mix, NS as to type of milk",72.25,3.41,2.01,10.13
"Chocolate milk, made from dry mix with whole milk",81.46,3.36,3.14,9.94
"Chocolate milk, made from dry mix with reduced fat milk",71.6,3.42,1.92,10.16
"Chocolate milk, made from dry mix with low fat milk",64.78999999999999,3.45,1.03,10.43
"Chocolate milk, made from dry mix with fat free milk",56.54,3.5,0.22,10.14
"Chocolate milk, made from dry mix with non-dairy milk",59.43,1.68,1.27,10.32
"Chocolate milk, made from reduced sugar mix, NS as to type of milk",63.7,3.59,2.1,7.61
"Chocolate milk, made from reduced sugar mix with whole milk",73.13999999999999,3.53,3.26,7.42
"Chocolate milk, made from reduced sugar mix with reduced fat milk",63.05,3.6,2.01,7.64
"Chocolate milk, made from reduced sugar mix with low fat milk",56.059999999999995,3.63,1.1,7.91
"Chocolate milk, made from reduced sugar mix with fat free milk",47.63,3.67,0.27,7.63
"Chocolate milk, made from reduced sugar mix with non-dairy milk",50.58,1.82,1.34,7.81
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",72.25,3.41,2.01,10.13
"Chocolate milk, made from dry mix with whole milk (Nesquik)",81.46,3.36,3.14,9.94
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",71.6,3.42,1.92,10.16
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",64.78999999999999,3.45,1.03,10.43
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",56.54,3.5,0.22,10.14
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",59.43,1.68,1.27,10.32
"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",63.7,3.59,2.1,7.61
"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",73.13999999999999,3.53,3.26,7.42
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",63.05,3.6,2.01,7.64
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",56.059999999999995,3.63,1.1,7.91
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",47.63,3.67,0.27,7.63
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",50.58,1.82,1.34,7.81
"Chocolate milk, made from syrup, NS as to type of milk",79.85,2.89,1.73,13.18
"Chocolate milk, made from syrup with whole milk",88.28999999999999,2.84,2.77,13.0
"Chocolate milk, made from syrup with reduced fat milk",79.28999999999999,2.9,1.65,13.21
"Chocolate milk, made from syrup with low fat milk",72.89999999999999,2.93,0.82,13.45
"Chocolate milk, made from syrup with fat free milk",65.27,2.97,0.07,13.19
"Chocolate milk, made from syrup with non-dairy milk",67.96,1.29,1.04,13.36
"Chocolate milk, made from light syrup, NS as to type of milk",63.54,3.1,1.86,8.6
"Chocolate milk, made from light syrup with whole milk",72.12,3.04,2.92,8.42
"Chocolate milk, made from light syrup with reduced fat milk",62.94,3.1,1.78,8.63
"Chocolate milk, made from light syrup with low fat milk",56.55,3.13,0.95,8.87
"Chocolate milk, made from light syrup with fat free milk",48.87,3.18,0.19,8.61
"Chocolate milk, made from light syrup with non-dairy milk",51.57,1.48,1.17,8.78
"Chocolate milk, made from sugar free syrup, NS as to type of milk",55.28,3.28,2.0,6.04
"Chocolate milk, made from sugar free syrup with whole milk",63.849999999999994,3.23,3.05,5.87
"Chocolate milk, made from sugar free syrup with reduced fat milk",54.760000000000005,3.29,1.92,6.08
"Chocolate milk, made from sugar free syrup with low fat milk",48.28,3.32,1.08,6.32
"Chocolate milk, made from sugar free syrup with fat free milk",40.56,3.36,0.32,6.06
"Chocolate milk, made from sugar free syrup with non-dairy milk",43.31,1.66,1.31,6.22
"Hot chocolate / Cocoa, made with dry mix and water",54.190000000000005,0.91,0.55,11.4
"Hot chocolate / Cocoa, made with dry mix and whole milk",105.35,3.73,3.31,15.16
"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",96.26,3.79,2.18,15.37
"Hot chocolate / Cocoa, made with dry mix and low fat milk",89.96,3.82,1.36,15.61
"Hot chocolate / Cocoa, made with dry mix and fat free milk",82.24000000000001,3.86,0.6,15.35
"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",84.73,2.18,1.57,15.47
"Hot chocolate / Cocoa, made with no sugar added dry mix and water",31.130000000000003,1.28,0.25,5.94
"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",85.98,4.26,3.18,10.08
"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",76.43,4.33,1.99,10.3
"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",69.72,4.35,1.12,10.56
