food_name,Calories,protein_g,fat_g,carbs_g
Veal with gravy,154.63,25.4,5.19,1.58
Veal scallopini,237.26000000000002,18.75,17.46,1.28
Veal with cream sauce,182.66000000000003,26.32,7.38,2.74
Veal with butter sauce,149.66,15.09,9.26,1.49
Veal Marsala,169.76,16.66,8.56,6.52
Veal parmigiana,201.39999999999998,15.33,11.88,8.29
Veal cordon bleu,249.04000000000002,20.69,14.36,9.26
Venison or deer with tomato-based sauce,134.48,25.64,2.84,1.59
Venison or deer with gravy,140.01000000000002,25.48,3.53,1.58
Chili con carne with venison/deer and beans,81.77,8.26,2.21,7.21
Chicken or turkey cacciatore,176.19,13.19,10.63,6.94
Spaghetti sauce with poultry,73.94,6.32,2.5,6.54
Spaghetti sauce with poultry and added vegetables,70.09,6.33,2.29,6.04
"Stewed chicken with tomato-based sauce, Mexican style",121.30000000000001,11.98,7.06,2.46
Chili con carne with chicken or turkey and beans,87.15,8.42,2.67,7.36
Chicken with gravy,128.73000000000002,18.88,5.21,1.58
Chicken or turkey fricassee,120.85999999999999,10.65,7.14,3.5
Turkey with gravy,119.3,20.46,3.46,1.58
Chicken or turkey with cream sauce,156.89,19.81,7.41,2.74
Chicken or turkey with mushroom sauce,135.73,19.29,5.69,1.84
Chicken or turkey with teriyaki,163.04000000000002,25.73,5.96,1.62
"Chicken, shredded or pulled, with barbecue sauce",166.68,19.0,4.64,12.23
Sweet and sour chicken or turkey,249.69,10.1,12.65,23.86
"Sweet and sour chicken or turkey, without vegetables",249.69,10.1,12.65,23.86
Chicken curry,109.81,6.47,6.45,6.47
Chicken curry with rice,115.94,4.95,3.98,15.08
Chicken with mole sauce,138.98,18.97,5.58,3.22
Chicken or turkey with cheese sauce,173.74,21.77,8.9,1.64
Chicken or turkey cordon bleu,209.64,22.63,9.12,9.26
Chicken or turkey parmigiana,172.64999999999998,16.25,8.29,8.26
Orange chicken,261.8,14.46,12.68,22.46
Sesame chicken,293.09000000000003,14.33,14.25,26.88
Chicken kiev,278.94,21.31,19.1,5.45
"Stuffed chicken, drumstick or breast, Puerto Rican style",232.27,28.07,10.43,6.53
"Fish with cream or white sauce, not tuna or lobster",111.25,17.04,3.57,2.74
"Crab, deviled",185.55,11.74,9.35,13.61
Crab imperial,134.43,13.96,7.31,3.2
Fish timbale or mousse,146.42,10.23,10.94,1.76
Lobster newburg,243.75999999999996,11.62,20.08,4.14
Lobster with butter sauce,155.16000000000003,17.0,9.68,0.01
Shrimp cocktail,117.84,15.37,1.48,10.76
Tuna with cream or white sauce,101.68,14.42,3.64,2.81
Seafood newburg,247.27,12.02,20.19,4.37
Seafood sauce,201.32999999999998,8.52,17.45,2.55
Spaghetti sauce with seafood,63.0,5.33,1.48,7.09
Spaghetti sauce with seafood and added vegetables,59.06,5.34,1.26,6.59
Shrimp with lobster sauce,146.74,16.78,7.86,2.22
Sweet and sour shrimp,168.07999999999998,7.14,8.6,15.53
Fish sauce,34.89,5.06,0.01,3.64
Shrimp scampi,194.10000000000002,19.63,12.06,1.76
Fish moochim,340.63,37.83,16.51,10.18
Fish with tomato-based sauce,77.69,16.28,0.69,1.59
Fish curry,94.59,4.94,5.39,6.58
Fish curry with rice,106.78,4.03,3.34,15.15
Mussels with tomato-based sauce,89.75999999999999,12.2,2.32,5.02
Sardines with tomato-based sauce,179.64999999999998,20.86,10.45,0.54
Sardines with mustard sauce,179.64999999999998,20.86,10.45,0.54
Shrimp teriyaki,113.88000000000001,21.62,1.56,3.34
Scallops with cheese sauce,137.18,17.48,5.06,5.43
Ceviche,62.43,10.34,0.75,3.58
"Crabs in tomato-based sauce, Puerto Rican style",142.02,12.52,8.9,2.96
"Shrimp in garlic sauce, Puerto Rican style",281.01,11.56,24.97,2.51
"Stewed codfish, no potatoes, Puerto Rican style",105.06,12.05,4.42,4.27
"Meat with barbecue sauce, NS as to type of meat",195.67999999999998,20.88,6.8,12.74
"Meatballs, NS as to type of meat, with sauce",180.46,18.03,11.98,0.13
"Meat loaf, Puerto Rican style",318.98,19.79,21.94,10.59
Meat with tomato-based sauce,150.44,21.72,6.36,1.58
Spaghetti sauce with meat,89.12,5.93,4.36,6.54
Spaghetti sauce with meat and added vegetables,85.18,5.94,4.14,6.04
"Stewed, seasoned, ground beef and pork, Mexican style",135.54000000000002,16.7,6.98,1.48
"Meat with gravy, NS as to type of meat,",156.01,21.56,7.05,1.58
"Beef and potatoes, no sauce",134.13,7.92,4.93,14.52
"Beef stew with potatoes, tomato-based sauce",105.78,8.99,3.34,9.94
"Beef stew with potatoes, tomato-based sauce, Mexican style",108.11,12.48,3.59,6.47
Beef goulash with potatoes,116.07,11.46,4.39,7.68
"Beef and potatoes with cream sauce, white sauce or mushroom sauce",99.79999999999998,7.73,3.8,8.67
"Beef stew with potatoes, gravy",98.87,9.19,3.51,7.63
"Beef, roast, hash",164.57,12.2,8.09,10.74
Corned beef hash,164.16,8.73,10.24,9.27
Beef and potatoes with cheese sauce,127.4,8.15,5.6,11.1
"Stewed, seasoned, ground beef with potatoes, Mexican style",152.85000000000002,9.9,10.09,5.61
"Beef and noodles, no sauce",186.13,11.37,8.41,16.24
Beef and macaroni with cheese sauce,134.14,9.12,5.38,12.31
Beef and noodles with tomato-based sauce,112.92,8.74,3.92,10.67
Chili con carne with beans and macaroni,117.12,5.8,2.92,16.91
Beef goulash with noodles,139.42000000000002,12.5,5.1,10.88
Beef and noodles with gravy,137.99,7.7,5.07,15.39
Beef and noodles with cream or white sauce,138.82,7.85,5.26,15.02
Beef stroganoff with noodles,128.82,7.66,6.98,8.84
Beef and noodles with mushroom sauce,136.21,7.54,5.13,14.97
Beef and noodles with soy-based sauce,173.82,13.18,10.06,7.64
"Beef and rice, no sauce",143.0,7.27,5.0,17.23
Biryani with meat,143.73,8.5,6.77,12.2
Beef and rice with tomato-based sauce,135.43,6.39,5.15,15.88
Porcupine balls with tomato-based sauce,150.76000000000002,10.35,6.2,13.39
Chili con carne with beans and rice,111.36,5.07,2.72,16.65
Beef and rice with gravy,135.12,6.28,5.12,15.98
Beef and rice with cream sauce,136.85000000000002,6.69,5.17,15.89
Beef and rice with mushroom sauce,133.69,6.25,5.17,15.54
Porcupine balls with mushroom sauce,154.0,10.33,7.76,10.71
Beef and rice with soy-based sauce,178.91,13.57,10.27,8.05
Beef and rice with cheese sauce,139.08,8.07,5.36,14.64
Meat loaf made with beef,194.93,17.49,10.69,7.19
"Meat loaf made with beef, with tomato-based sauce",157.17,13.79,8.33,6.76
Beef wellington,363.13,19.1,27.37,10.1
Corned beef patty,164.16,8.73,10.24,9.27
"Stuffed pot roast, with potatoes, Puerto Rican style",340.72,24.4,23.56,7.77
"Beef stew with potatoes, Puerto Rican style",218.17000000000002,14.57,14.85,6.56
"Stewed corned beef, Puerto Rican style",195.35000000000002,13.43,11.15,10.32
Meat loaf made with ham,174.43,20.67,7.47,6.13
Ham and noodles with cream or white sauce,136.81,6.8,5.37,15.32
Ham and rice with mushroom sauce,133.22,5.37,5.18,16.28
Ham or pork with stuffing,141.19,6.26,8.27,10.43
Ham croquette,268.53999999999996,17.98,20.7,2.58
Pork and rice with tomato-based sauce,137.8,6.42,5.0,16.78
Sausage and rice with tomato-based sauce,133.53,4.63,5.49,16.4
Sausage and rice with mushroom sauce,140.73,4.86,6.01,16.8
Sausage and rice with cheese sauce,149.53,6.32,7.61,13.94
Sausage and noodles with cream or white sauce,152.49,5.9,7.73,14.83
"Ham and noodles, no sauce",141.98000000000002,7.15,5.54,15.88
"Ham or pork and rice, no sauce",139.03,6.73,4.99,16.8
Ham or pork and potatoes with gravy,125.28999999999999,5.4,6.33,11.68
Ham or pork and potatoes with cheese sauce,127.09,7.86,5.69,11.11
"Stewed pig's feet, Puerto Rican style",134.78,9.99,8.7,4.13
"Stuffed pork roast, Puerto Rican style",155.67000000000002,18.75,8.11,1.92
"Pork stew, with potatoes, tomato-based sauce, Mexican style",107.12,13.08,3.84,5.06
Lamb or mutton loaf,181.44,13.1,11.04,7.42
Lamb or mutton and potatoes with gravy,128.78,5.13,6.46,12.53
Lamb or mutton and potatoes with tomato-based sauce,126.94,5.26,6.22,12.48
Lamb or mutton and noodles with gravy,139.04000000000002,6.8,5.48,15.63
Meat loaf made with venison/deer,161.44,19.03,6.68,6.3
Veal and noodles with cream or white sauce,142.04,8.34,5.64,14.48
Venison or deer and noodles with cream or white sauce,139.06,8.36,5.3,14.48
Chicken or turkey hash,108.1,9.64,4.1,8.16
Chicken or turkey and potatoes with gravy,121.43,7.26,6.31,8.9
"Chicken or turkey and noodles, no sauce",148.06,7.73,6.14,15.47
Chicken or turkey and noodles with gravy,139.91,6.99,5.67,15.23
Chicken or turkey and noodles with mushroom sauce,136.12,6.92,5.44,14.87
Chicken or turkey and noodles with cream or white sauce,139.4,7.38,5.44,15.23
Chicken or turkey and noodles with cheese sauce,145.48,8.95,6.16,13.56
Chicken or turkey tetrazzini,118.52000000000001,11.96,4.76,6.96
Chicken or turkey and noodles with tomato-based sauce,138.12,7.12,5.44,15.17
Chicken or turkey and noodles with soy-based sauce,158.33999999999997,11.6,9.02,7.69
"Chicken or turkey and rice, no sauce",146.28,6.46,5.84,16.97
Biryani with chicken,104.11999999999999,7.15,2.36,13.57
Chicken or turkey and rice with cream sauce,135.79999999999998,8.12,5.8,12.78
Chicken or turkey and rice with mushroom sauce,133.67,5.67,5.47,15.44
Chicken or turkey and rice with tomato-based sauce,141.14,5.72,6.18,15.66
Chicken or turkey and rice with soy-based sauce,163.26,11.96,9.22,8.11
Chicken or turkey with dumplings,143.77,15.64,5.49,7.95
Chicken or turkey with stuffing,171.04000000000002,20.04,4.88,11.74
"Chicken or turkey cake, patty, or croquette",261.94,20.85,18.7,2.56
Chicken or turkey souffle,168.32,11.74,11.04,5.5
Meat loaf made with chicken or turkey,172.52,18.78,7.24,8.06
"Meat loaf made with chicken or turkey, with tomato-based sauce",146.48000000000002,15.47,6.16,7.29
"Clams, stuffed",198.95999999999998,11.87,11.08,12.94
Codfish ball or cake,188.20999999999998,14.32,9.85,10.57
Crab cake,201.35,14.57,14.75,2.58
"Fish cake or patty, NS as to fish",214.5,13.93,13.06,10.31
Gefilte fish,108.4,17.52,3.8,1.03
Salmon cake or patty,242.24,17.12,18.16,2.58
Salmon loaf,188.91,15.82,9.91,9.11
Scallops and noodles with cheese sauce,144.8,8.46,5.64,15.05
"Shrimp and noodles, no sauce",144.42000000000002,7.3,5.5,16.43
Shrimp and noodles with gravy,129.5,6.02,5.18,14.7
Shrimp and noodles with mushroom sauce,132.51,6.31,5.23,15.05
Shrimp and noodles with cream or white sauce,140.76999999999998,7.13,5.25,16.25
Shrimp and noodles with soy-based sauce,139.13,10.21,7.25,8.26
Shrimp and noodles with cheese sauce,134.85,8.18,5.37,13.45
Shrimp and noodles with tomato sauce,134.38,6.46,5.22,15.39
Tuna loaf,228.33999999999997,21.08,11.86,9.32
Tuna cake or patty,205.8,15.34,14.88,2.63
Clam cake or patty,241.02999999999997,19.04,15.31,6.77
Oyster fritter,194.57999999999998,6.93,16.22,5.22
Flounder with crab stuffing,132.61,15.08,5.49,5.72
"Lobster with bread stuffing, baked",172.68,14.98,8.16,9.83
Clams Casino,116.72,8.73,4.72,9.83
Mackerel cake or patty,267.87,16.54,17.63,10.76
Haddock cake or patty,214.5,13.93,13.06,10.31
Shrimp cake or patty,226.13,18.1,15.45,3.67
Shrimp with crab stuffing,170.38,16.39,8.94,6.09
"Shrimp toast, fried",220.04,8.45,15.48,11.73
Seafood restructured,94.62,7.62,0.46,15.0
Seafood souffle,149.17000000000002,9.91,9.73,5.49
Tuna noodle casserole with cream or white sauce,166.7,10.12,7.18,15.4
Tuna noodle casserole with mushroom sauce,137.93,9.02,5.13,13.92
Tuna and rice with mushroom sauce,126.28,4.57,5.16,15.39
Fish and rice with tomato-based sauce,133.84,5.41,5.12,16.53
Fish and rice with cream sauce,129.4,5.53,4.92,15.75
Fish and rice with mushroom sauce,132.19,5.34,5.15,16.12
Fish and noodles with mushroom sauce,130.26,6.3,5.1,14.79
Shellfish and noodles with tomato-based sauce,134.64,6.58,5.04,15.74
"Stewed salmon, Puerto Rican style",145.14,12.02,7.02,8.47
"Meat loaf, NS as to type of meat",197.58,17.5,10.98,7.19
"Meatballs, with breading, NS as to type of meat, with gravy",141.5,12.22,7.5,6.28
Meat loaf made with beef and pork,191.76,17.28,10.44,7.17
"Meat loaf made with beef, veal and pork",191.76,17.28,10.44,7.17
"Meat loaf made with beef and pork, with tomato-based sauce",154.82,13.64,8.14,6.75
"Hash, NS as to type of meat",164.16,8.73,10.24,9.27
"Vienna sausages stewed with potatoes, Puerto Rican style",219.84,5.08,16.36,13.07
Liver dumpling,282.88,23.11,15.48,12.78
"Breaded brains, Puerto Rican style",242.44000000000003,10.14,14.72,17.35
"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",140.39,12.84,8.03,4.19
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",127.91,6.93,5.15,13.46
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",133.66,6.97,5.1,14.97
"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",127.96000000000001,4.76,6.0,13.73
"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",129.18,4.84,5.38,15.35
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",89.7,5.23,3.98,8.24
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",81.72,6.64,2.36,8.48
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",79.09,6.22,2.21,8.58
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",82.61,6.77,2.41,8.46
Shepherd's pie with beef,110.14999999999999,6.35,3.15,14.1
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",130.04,5.23,7.16,11.17
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",127.7,5.3,6.34,12.36
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",129.09,5.28,7.05,11.13
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",130.24,5.33,6.68,12.2
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",128.48000000000002,5.33,6.96,11.13
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",129.72,5.39,6.56,12.28
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",128.71,8.14,5.43,11.82
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",133.43,8.17,5.43,12.97
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",150.87,11.77,8.83,6.08
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",149.49,11.69,8.81,5.86
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",148.39000000000001,8.71,5.19,16.71
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",152.47,8.78,4.91,18.29
Beef chow mein or chop suey with noodles,131.81,10.78,4.89,11.17
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",140.55,10.34,7.59,7.72
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",140.0,10.32,7.64,7.49
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",127.46000000000001,6.74,5.06,13.74
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",132.15,6.77,5.07,14.86
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",126.16999999999999,6.6,5.05,13.58
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",130.13,6.63,5.01,14.63
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",127.2,6.65,5.04,13.81
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",131.92999999999998,6.68,5.05,14.94
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",147.42,7.54,4.86,18.38
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",149.09,7.62,4.29,20.0
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",131.6,5.85,5.4,14.9
"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",132.87,5.91,4.99,16.08
Stuffed cabbage rolls with beef and rice,113.16,8.41,5.0,8.63
Stuffed grape leaves with beef and rice,241.93,7.83,18.37,11.32
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",128.76999999999998,5.78,5.21,14.69
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",133.14,5.81,5.22,15.73
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",146.07,8.58,5.51,15.54
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",143.28,8.18,5.24,15.85
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",129.74,5.77,5.18,15.01
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",134.34,5.8,5.18,16.13
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",143.87,10.59,7.71,8.03
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",146.0,10.79,7.96,7.8
Beef pot pie,221.82,7.99,13.5,17.09
"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",127.33,6.09,6.29,11.59
"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",130.32999999999998,6.13,6.09,12.75
"Stuffed green pepper, Puerto Rican style",161.83,8.63,7.23,15.56
Ham pot pie,233.32,7.99,14.16,18.48
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",151.10999999999999,8.42,4.91,18.31
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",147.07,8.35,5.19,16.74
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",155.78,9.18,6.42,15.32
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",128.82999999999998,6.55,5.43,13.44
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",126.1,6.48,5.02,13.75
"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",133.61,5.26,5.69,15.34
"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",128.85,5.22,5.69,14.19
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",128.95,5.06,7.07,11.27
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",129.35999999999999,5.12,6.64,12.28
"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",129.13,3.73,7.53,11.61
"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",130.32,3.78,7.12,12.78
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",126.36000000000001,4.98,6.84,11.22
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",127.47,5.03,6.43,12.37
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",135.08,6.59,5.44,14.94
Pork chow mein or chop suey with noodles,143.74,10.41,6.38,11.17
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",143.18,9.99,7.9,8.03
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",145.23000000000002,10.17,8.15,7.8
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",127.91,5.61,5.07,14.96
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",132.51,5.64,5.07,16.08
"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",127.85999999999999,5.56,5.06,15.02
"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",128.58,5.47,5.9,13.4
Sweet and sour pork with rice,183.56,10.12,7.12,19.75
Shepherd's pie with lamb,126.43,7.12,5.07,13.08
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",102.36,8.8,2.28,11.66
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",135.15,5.05,5.51,16.34
"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",128.91,5.13,5.31,15.15
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",130.38,5.02,5.5,15.2
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",105.71000000000001,9.31,2.31,11.92
Stuffed grape leaves with lamb and rice,274.0,8.17,21.52,11.91
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",96.65,8.25,1.89,11.66
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",99.92,8.75,1.92,11.91
"Veal fricassee, Puerto Rican style",167.3,16.36,8.1,7.24
"Veal stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",78.61,6.35,2.77,7.07
"Veal stew with potatoes and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",82.14999999999999,6.18,2.59,8.53
Rabbit stew with potatoes and vegetables,61.93,6.97,1.81,4.44
"Stewed rabbit, Puerto Rican style,",210.18,17.14,12.7,6.83
"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",71.02,7.52,0.82,8.39
"Venison or deer stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",72.24000000000001,7.79,0.84,8.38
"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",126.98,5.95,6.5,11.17
"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",128.18,6.01,6.1,12.31
"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",130.27,7.43,5.11,13.64
"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",134.87,7.47,5.11,14.75
"Chicken or turkey, potatoes, corn, and cheese, with gravy",126.88,4.55,6.2,13.22
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",131.53,6.16,5.97,13.29
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",135.38,6.21,5.7,14.81
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",124.94,4.72,6.82,11.17
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",129.46,4.75,6.82,12.27
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",127.50999999999999,4.79,7.11,11.09
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",128.62,4.84,6.74,12.15
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",130.37,7.54,5.93,11.71
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",135.09,7.57,5.93,12.86
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",126.77999999999999,4.81,7.02,11.09
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",131.35,4.84,7.03,12.18
"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",76.69,6.08,2.33,7.85
"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",81.43,6.57,2.27,8.68
"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",83.21000000000001,6.33,2.41,9.05
"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",87.66,6.82,2.34,9.83
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",147.3,7.95,5.46,16.59
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",153.13,8.0,5.41,18.11
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",129.66,6.08,5.62,13.69
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",130.76,6.13,5.2,14.86
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",128.66,6.06,5.62,13.46
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",133.03,6.09,5.63,14.5
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",131.52,6.16,5.84,13.58
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",136.07999999999998,6.19,5.84,14.69
Chicken or turkey chow mein or chop suey with noodles,133.11,9.91,5.43,11.15
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",145.97,8.9,5.97,14.16
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",150.73,8.93,5.97,15.32
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",149.15,6.78,5.47,18.2
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",151.16000000000003,6.85,4.96,19.78
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",131.34,5.21,5.66,14.89
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",134.26,5.25,5.46,16.03
"Chicken or turkey, rice, corn, and cheese, with gravy",151.76,5.66,7.96,14.37
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",132.25,9.4,6.93,8.07
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",133.95,9.56,7.15,7.84
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",130.3,5.26,5.66,14.58
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",131.44,5.31,5.28,15.67
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",140.71,8.05,5.15,15.54
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",145.56,8.09,5.16,16.69
